index,source,entropy_avail,gen_time_ms,modulus_hex,publickey_sha256
21,baseline,256,377,B2B35EE165184B903D21807D3443FFF1D7040C9D9C9845028BF343E7E986AD2EF36DB19E8DF0ED53724AC54CE84FE388971AD9F2651D456A2B6BA7D94BFD22ACF2540ECE5D2EA122D7516DDB5C10240619405FF66347D95157EED2E80DD6F889355728CBFA9015D58DA53A00A2188D324FD1960BE57E040A4BFA2E6451ABFD62C63E8082EF64B03E753F83866049EFE0D3BBC383602D3177FF0162FFD7DA5177410D00CC0FDF1844D96BA11F226722249B44BFA7F236BAAFC419B9BD5A1C28E1BD40F6693E4E231C5CA1258ED6144C41A3BC140312F6D0B2FC9612BD29549422FDB8975EA828AA34A6699A8C3186F28D7B1C32F1928797AF38C7CD57114ED0C9,b25714d9d7871e156ede1fed6969b04d7700b163f36b57766e569926ed3c6930
22,baseline,256,1025,AEEAB42FF8F4F15E3A6675E6B54F7B7B488F9E72604F919F6CABB420F99310BCC0CDF49574F7B1C427C5067CEC9B2628D5B751907CD020E7FF3BC61040B781C4A950F4953E50D7A0F9584C140B9FAB6254CE2FE94947EA90CEC872C9214DD257C0F1784D69882D85F5A79EBB64A950A1CB212065B7F1597D3FB7871E9770B059936B04C62C86996D1B650B94A794044F3E3EFB1D74C897F4EDD2715DD2BFE8B8B2CC6213550B21EB5D75B49543DCB3C84B041BF0735B0F10C59569D2A7453BBFE6356F07C97F2DA3434BEE394FE92DDEECB246B98F833480A920E9F36062756E3EE99D4F0CFC2EEC07CF94592F8A6606947CA9015773494314D4FF87611F5BD3,906e234a5f3579ca7ec82e61944e0b47c842c438b1fd8719b45d58230c4e3597
23,baseline,256,259,BAEBAECF4EC9A779E6E53D846CD1A560B324FD24516783FA4C80CD38AFBF3016E5AF3F9718CE844869B6FEF1758B2E5EBC98BB4103DC85D7AAFB8F8C3E4316819A028143FBAED9B80A49A89518149C224CAF849F4E00E18CA9E5086EF1A76E0E3500F21C221BE48808D065F759EFDD451583197D29EEED1AE2C9E2BC3B1160128FAD117C5C282305B50B1E4F5676197E0D97A5E4FFB5645F71915BDDC6DAC218C87C126A1A1E87F71E30F8698DB58BB491906304F59291432FCEC374D6820667BE3BDC91BBB730C4BBBC065CC51898EADDE1716C2A55A80C9FAFD5932F651A98D71D0CA03590624FB3433A84967B6C68DDD005144169E6686B07F46509631313,e532b1150fb72152cdbcb76deda26ab5bf73a4a9cc54bab9b3f268118b73e62e
24,baseline,256,660,CAFB9B291E402401A586533F86B52A37950E2B3EBE66E762324A32F109FB8AEDE9CDDC36D4AAF2461C4B62323A2C30B4A63951B57567E6CF09BC90DEFFABA53F03E8D246F5FE39E89BD70FC2A52F7ABCE288FDE567680714DD50BD6D25215D46EC06807172EE5D2953605388DD147A0A0DB79755E438B99D7A00EDA5D55A9B08BD11D70DEC22615D176581C3625982405EDE4EE89189247D5A7129A6AF7FBA296033D0885D979A38030A662B5570413807AD84DC3B9543D35898E61B4BA7EDF2918D956C65561AE8FB0776CDF3360543FFBA8A9D93F328891540AF29BD3E56B828641D9BA9C6BAC0CF7305CE63496AA6B5CB2F697A459E4DB16B0DAB703BD841,727ca8dc84bb04b90834d9048871cd87a20ce9a36f5b40192121c8cfc57f8ff8
25,baseline,256,854,AA5291F47C1A4946F4D04C41863F8AEAA42A56C31B80D4DD726C3CDF908AA569D06D9B038D05DF682F885F63BAA383290EE96AFC373EEC26221B3FB54CE2B3C33060CDD68C45A937A4A0CE96A712CD08FD0071122532DB71CB983C1737102F4E8A6ADCDD913936B950D48DF50BD1DC637DE9A9000ED6DFE6C86B9017BE0FA7765247E693379DEEFA9CD7A7E8EDAFA801BCBA4BDAEEDFB9C7CCA9DF5CB4D98AF247FE21CAB0C4B6BE531EF0BD005E154AE880E0AE691F55B7AA3E57D42DF8D8D1282D4339A9665219BD5A84A0C4BE08081DF25ACDDF2024B772172D2C68514723A542C2DEB55BE42A9F40F40E2014DC6E3B98F3C63B56B607C6440768ABF1DC51,3a8117368fa3a084e164ad38cbc32ba65888346af5a16e27a56d535eec211c01
26,baseline,256,647,C90712DC42A0BD4CD2DE39ECAA9AACD1FD2DA7B9F8A284F2E464C55DB80F8C09A7931A86983E730115267CCEE3530EC31E5D359A9DA555F09AF9736F786B3152E516820AA37D36FCDE48FF5E111E8F2FC8923B2A0B8AF510944B0E1B556DEEAE1548E73992D4A277FE725C89804487EA676714C94E90EAB0880DAD861C87FC7A976FB03652248BB3535BDA49459506C634700CDFDDADE673C57998BE14FD270934942871369ED5848659117E7436E299B7DE18591183B4BB6F65A0097178F1DDD2311A0E802E8313A6EFBA4432BEF015021510F00956F8E387C30D2455E58F5BEEEB9A2EB3D9CBD644D231597E1B72E4FBFD617B00699FDC0CB312BDCF3367CF,eaf616118038b83700ed8571046ab18a493e2d706ee93ba4e22bbdaca2a437a8
27,baseline,256,215,8E5C9766845F2560FF40293B584559521E7662196136C6430D96714FC18AE12A0600C237FDD3F242C1941A720B04CC8FC668D3C664533765D3874931EECA01178DDB2BAFCD2995B2BE047F876861F18319AC1B21C03C56DBFFA7E32F197C021F2A10B739EE1B0549C7AE102BB1CAC602F9F0AC219E6A1AEC083FD3B0B59EC59352638EA3A19892772E2E53CF2B386CE3A2AA82AAC9D9475703F5E10D5BB870701D4826C45CA12746DF8F8A46B6B75BB5136091942087CDEBA259523D7746D10852A4DB146F243B7B6F02CCE71B0C9966C8527D0D0F7DA19F61F5B997C9ADAD9A1781F2662380AA56B570B15BDE45A52B16D340AFF1FA8916E5F6DEF894003EDF,d6eae4de1932605f06fc40963e5d5e77ecfd6cf144a86ed9dc925ab5ec0f4f9b
28,baseline,256,414,B5A0960C69910084847BC01477A752E1FE8FE06878B10606A934C02250D5C01915AF683A5E6273BC64B6033D76514F62FA98536049420AE6055A51D693277CE131C0F4218EB0FDBE0B270BA2CC786D66081689E7B7C5EF63B94B0CEEF7A246635B099557A0CB1F7F41B86024D34EB6AA4F0761BA92C2944F5BF04BF83E8A0DDD1EEAC839373EE4831BA2BA01607D72E94ADFD66A1531CFFCCA33A6758C6C8152E3EF5D361381BC01F6474820ECDAE1F56C962D0068D969C2EA615D489652613EE846A2048B3D976DDA93CA2526BAAB2C5AD14C6C4A5CB185F8CC24E77EEB621BAC466011416B9466661F5B3FEBFEE686A82872C79ED712AB60C7B0122FBF203D,c9d936fc87f673d66160e2deeaa3b3cc74a0dca786b7d4dde932635add200b8a
29,baseline,256,273,D086771761FAC273D7D786709D286CC708F9724DCB3D2CEA1D20DB26F914336E36530AA85AEC10668A24DAD5852293C0FA10BDF9692093B5C1EECE8A63A640902DCF1B43C3979EF4FB4C6FF1CD6A7C2A714BB475BB07187D45F85C35C66C60CDACC523415157D61663B29D0077E1103E33D20256C14B087ADA23BD1DA8471840E53B6CFF642C2514C2C46B24F6F6C1EDF3D9FEBF6C14B330C798FF54DAE3B76C95EED19EDF84CF9F13025645568D810FDE4B15C6DBA2D803721FB074E2AF7D047AFD2E92FC3969CF77100F791BCDECF23ACCBD71F4ABF303263DFE207C609CA3A7D44B5CBA3AD6049C2BE2BD47C90A7D03209B78716F44A25576476BBAB1DB99,a723ebbe8b93676f37e7958bb2c29ee92bfe0b3c581fe3a560438de0a63c94f4
30,baseline,256,491,A92909055C33DB5D93EC9A6A428178FF8491B1EE786A98CB0EA2A2FCE28677BA25C41C3D2692314156118FE24733DEFAE4FAF239B95E679917B31C54BA2A57366FECF54A380C74FFD8D727FE478E22F478F3948235BAA94B38A132ABED30DA2075EB903F933E24E5595F61D6DA45C579C9B105DB050A956986B42CDCE09D1BC44B52BEBB4B011A9E112CC4688AEF8D943179207036A048744E6B489F13837F998BB5055515B2E680E2353AC28D98026A36568B14B2A70D0989B522D0C5105892A5D861C2DEEAA781465638ADDBB2B88DBB568A0FE6368F0872A5630F7BC9AA321C18538241F8FB162226DF0D83BECFDAF2662658D4F8721C3A2D54C28CD6C73B,5354656b1fe92ad178ae982a286bf9d85e1fc5272b5b839225a4ee2e1ceff17b
